type_clothes,adress2,image_link2,price2
Dialab pour enfant,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5214595_uploaded_image1_1741112064.jpg,7000.0
Robe Iris enfant,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5204766_uploaded_image1_1740600489.jpg,15000.0
Jalaba  pour enfants,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5246903_uploaded_image1_1742748145.jpg,15000.0
Jalaba  pour enfants,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5246901_uploaded_image2_1742748053.jpeg,7000.0
Maillots enfants,"Dieuppeul-Derklé, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5246062_uploaded_image1_1742692008.jpg,10000.0
Robe de prière  enfant,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5241328_uploaded_image1_1742452229.jpg,5000.0
Vetement  enfants,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg,8500.0
Robe enfant,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5225588_uploaded_image1_1741658299.jpg,1522765.1515151516
Robe enfant,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5225585_uploaded_image1_1741658034.jpg,1522765.1515151516
Robe enfant,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5225584_uploaded_image1_1741657625.jpg,1522765.1515151516
Djialap pour enfant de 4ans jusqua 18ans ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg,6500.0
Dialabé enfant ,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg,10000.0
Djialabé enfant ,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg,8000.0
