web_scraper_order,web_scraper_start_url,image_link,address,price,type clothes
"1765138269-214","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3243385_uploaded_image1_1627145773.jpg","Grand Yoff, Dakar, Sénégal","5 000CFA","Maillot de bain enfant"
"1765138269-215","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3243381_uploaded_image1_1627145505.jpg","Grand Yoff, Dakar, Sénégal","8 000CFA","Ensemble short fille"
"1765138269-216","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3225642_uploaded_image1_1626171489.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Ensemble enfants"
"1765138269-217","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3223803_uploaded_image1_1626088912.jpg","HLM, Dakar, Sénégal","Prix sur demande","Robe   enfant"
"1765138269-218","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3223798_uploaded_image1_1626088863.jpg","HLM, Dakar, Sénégal","Prix sur demande","Robe enfant"
"1765138269-219","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3223774_uploaded_image1_1626088433.jpg","HLM, Dakar, Sénégal","Prix sur demande","Robe enfant"
"1765138269-220","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3222211_uploaded_image1_1626008052.jpg","Colobane, Dakar, Sénégal","3 000CFA","Robe enfant"
"1765138269-221","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3221637_uploaded_image1_1625954553.jpg","HLM, Dakar, Sénégal","Prix sur demande","Ensemble enfant"
"1765138269-222","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3201236_uploaded_image1_1625141023.jpg","Grand Yoff, Dakar, Sénégal","5 000CFA","Djellaba enfant"
"1765138269-223","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3199217_uploaded_image1_1625065031.jpg","Ziguinchor, Sénégal","2 500CFA","Vêtement enfant"
"1765138269-224","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3199201_uploaded_image1_1625064316.jpg","Ziguinchor, Sénégal","1 000CFA","Boubou enfant"
"1765138269-225","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3198270_uploaded_image1_1625015464.jpg","Fass, Dakar, Sénégal","Prix sur demande","Sous-vêtement Enfant"
"1765138269-226","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3192618_uploaded_image1_1624700331.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Habits bébé"
"1765138269-227","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3186865_uploaded_image1_1624408771.jpg","Parcelle Assainies, Dakar, Sénégal","Prix sur demande","Ensemble vêtements"
"1765138269-228","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3186113_uploaded_image1_1624378022.jpg","Grand Yoff, Dakar, Sénégal","5 000CFA","Sous vêtement enfants"
"1765138269-229","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3186107_uploaded_image1_1624377710.jpg","Grand Yoff, Dakar, Sénégal","1 500CFA","T-shirt enfant"
"1765138269-230","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3178371_uploaded_image1_1623973004.jpg","Parcelle Assainies, Dakar, Sénégal","12 000CFA","Robe pour fillette"
"1765138269-231","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3176544_uploaded_image1_1623885930.jpg","Dakar, Sénégal","Prix sur demande","Robes enfant"
"1765138269-232","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174226_uploaded_image1_1623782700.jpg","Colobane, Dakar, Sénégal","2 000CFA","Jeans de friperie enfant"
"1765138269-233","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174224_uploaded_image1_1623782622.jpg","Colobane, Dakar, Sénégal","2 000CFA","Robe de friperie enfants"
"1765138269-234","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174220_uploaded_image1_1623782572.jpg","Colobane, Dakar, Sénégal","2 000CFA","Robes de friperie enfants"
"1765138269-235","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174219_uploaded_image1_1623782525.jpg","Colobane, Dakar, Sénégal","2 000CFA","Robe de friperie enfants"
"1765138269-236","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174216_uploaded_image1_1623782453.jpg","Colobane, Dakar, Sénégal","3 000CFA","Ensemble enfants"
"1765138269-237","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174214_uploaded_image1_1623782405.jpg","Colobane, Dakar, Sénégal","2 000CFA","Robe de friperie - enfants"
"1765138269-238","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174209_uploaded_image1_1623782334.jpg","Colobane, Dakar, Sénégal","3 000CFA","Ensemble enfants"
"1765138269-239","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174207_uploaded_image1_1623782291.jpg","Colobane, Dakar, Sénégal","2 000CFA","Jeans friperie enfants"
"1765138269-240","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174201_uploaded_image1_1623782246.jpg","Colobane, Dakar, Sénégal","2 000CFA","Jeans de friperie"
"1765138269-241","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3174199_uploaded_image2_1623782190.jpeg","Colobane, Dakar, Sénégal","3 000CFA","Ensemble chemises + pantalon friperie enfants"
"1765138269-242","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3172225_uploaded_image1_1623704262.jpg","Cambérène, Dakar, Sénégal","7 000CFA","Robe fillette"
"1765138269-243","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3163009_uploaded_image1_1623254458.jpg","Dakar, Sénégal","4 000CFA","Vêtements enfants"
"1765138269-244","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3160326_uploaded_image1_1623155200.jpg","Toubab Dialao, Sénégal","30 000CFA","Vêtement enfant"
"1765138269-245","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3156533_uploaded_image1_1622995117.jpg","Grand Yoff, Dakar, Sénégal","5 500CFA","Ensemble bébé été"
"1765138269-246","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3156529_uploaded_image1_1622995007.jpg","Grand Yoff, Dakar, Sénégal","5 500CFA","Ensemble été avec bavoir bébé"
"1765138269-247","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3153951_uploaded_image1_1622847447.jpg","HLM, Dakar, Sénégal","4 000CFA","Ensemble bébé"
"1765138269-248","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3147894_uploaded_image1_1622636034.jpg","Mbao, Dakar, Sénégal","15 000CFA","Robe  enfant"
"1765138269-249","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3138756_uploaded_image2_1622223312.jpeg","Colobane, Dakar, Sénégal","1 500CFA","Vêtement enfant"
"1765138269-250","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3138754_uploaded_image1_1622223222.jpg","Colobane, Dakar, Sénégal","1 500CFA","Vêtements enfants"
"1765138269-251","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3138750_uploaded_image1_1622223144.jpg","Colobane, Dakar, Sénégal","1 500CFA","Vêtement enfant"
"1765138269-252","https://sn.coinafrique.com/categorie/vetements-enfants?page=8","https://images.coinafrique.com/thumb_3138747_uploaded_image1_1622223048.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtement enfant"
"1765138273-253","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3563684_uploaded_image1_1644584292.jpg","Medina, Dakar, Sénégal","12 000CFA","Peignoir personnalisé enfant"
"1765138273-254","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3601827_uploaded_image1_1646873978.jpg","Dieuppeul-Derklé, Dakar, Sénégal","8 000CFA","Habits enfants"
"1765138273-255","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3600538_uploaded_image1_1646825050.jpg","Colobane, Dakar, Sénégal","1 500CFA","Vêtement enfant"
"1765138273-256","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3600535_uploaded_image2_1646824967.jpeg","Colobane, Dakar, Sénégal","2 000CFA","Vêtement enfant"
"1765138273-257","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3600530_uploaded_image2_1646824909.jpeg","Colobane, Dakar, Sénégal","2 000CFA","Vêtements enfants"
"1765138273-258","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3600527_uploaded_image1_1646824864.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138273-259","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3600524_uploaded_image1_1646824802.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Friperie enfants"
"1765138273-260","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3599090_uploaded_image1_1646743024.jpg","Yoff, Dakar, Sénégal","1 500CFA","Vêtements bébé"
"1765138273-261","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3598377_uploaded_image1_1646692365.jpg","Dakar, Sénégal","5 000CFA","Pantalon Zara enfant"
"1765138273-262","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3594235_uploaded_image1_1646433088.jpg","Dakar, Sénégal","15 000CFA","Ensemble Veste enfant"
"1765138273-263","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3588188_uploaded_image1_1646153533.jpg","Keur Massar, Sénégal","10 000CFA","Vêtement bébé"
"1765138273-264","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3588178_uploaded_image1_1646153368.jpg","Keur Massar, Sénégal","10 000CFA","Vêtement bébé"
"1765138273-265","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3585164_uploaded_image1_1645997873.jpg","Dieuppeul-Derklé, Dakar, Sénégal","8 000CFA","Maillot enfant"
"1765138273-266","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3584341_uploaded_image1_1645920047.jpg","Dakar Plateau, Dakar, Sénégal","12 000CFA","Peignoirs enfants"
"1765138273-267","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3582459_uploaded_image1_1645794121.jpg","Dieuppeul-Derklé, Dakar, Sénégal","20 000CFA","Ensemble tenu mardi Gras"
"1765138273-268","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3568689_uploaded_image1_1644934911.jpg","Dakar Plateau, Dakar, Sénégal","4 500CFA","Vêtement bébé"
"1765138273-269","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3566348_uploaded_image3_1644775694.jpeg","Dieuppeul-Derklé, Dakar, Sénégal","8 000CFA","Maillot football enfants - Sénégal"
"1765138273-270","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3560017_uploaded_image1_1644370671.jpg","Dakar, Sénégal","15 000CFA","Abaya"
"1765138273-271","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3552570_uploaded_image1_1643898522.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Sous vêtements enfant"
"1765138273-272","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3550527_uploaded_image1_1643810579.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","12 500CFA","Vêtements enfant  3-6 mois"
"1765138273-273","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3550501_uploaded_image1_1643809792.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","9 900CFA","Vêtement enfant"
"1765138273-274","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3550411_uploaded_image3_1643807273.jpeg","Keur Massar, Sénégal","18 000CFA","Ensemble pour bébé"
"1765138273-275","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3549965_uploaded_image1_1643796780.jpg","Guediawaye, Dakar, Sénégal","8 500CFA","Ensemble fillette"
"1765138273-276","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3549957_uploaded_image1_1643796504.jpg","Guediawaye, Dakar, Sénégal","12 000CFA","Vêtement enfant"
"1765138273-277","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3547360_uploaded_image1_1643703487.jpg","Dakar, Sénégal","20 000CFA","Vêtement Mardi-gras"
"1765138273-278","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3546701_uploaded_image1_1643659342.jpg","Dakar, Sénégal","10 000CFA","Manteau fille"
"1765138273-279","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3546662_uploaded_image1_1643656828.jpg","Dakar, Sénégal","6 000CFA","Pull bébé"
"1765138273-280","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3546633_uploaded_image1_1643655713.jpg","Dakar, Sénégal","10 000CFA","Robe bébé crochet"
"1765138273-281","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3538747_uploaded_image1_1643124842.jpg","Dakar Plateau, Dakar, Sénégal","7 000CFA","Blouson enfant"
"1765138273-282","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3536216_uploaded_image1_1642943146.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Ensemble enfant"
"1765138273-283","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3534704_uploaded_image1_1642807674.jpg","Patte d'oie, Dakar, Sénégal","25 000CFA","Robe"
"1765138273-284","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3534701_uploaded_image1_1642807591.jpg","Patte d'oie, Dakar, Sénégal","25 000CFA","Robe enfant"
"1765138273-285","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3534698_uploaded_image1_1642807515.jpg","Patte d'oie, Dakar, Sénégal","25 000CFA","Robe"
"1765138273-286","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3527123_uploaded_image1_1642357733.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Ensemble enfant"
"1765138273-287","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3527122_uploaded_image1_1642357621.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Pantalon enfant"
"1765138273-288","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3527120_uploaded_image1_1642357377.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Ensemble enfant"
"1765138273-289","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3516974_uploaded_image1_1641760222.jpg","Parcelle Assainies, Dakar, Sénégal","8 000CFA","Boxer fille"
"1765138273-290","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3516897_uploaded_image1_1641755817.jpg","Parcelle Assainies, Dakar, Sénégal","8 000CFA","Caleçons boxers enfants"
"1765138273-291","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3516300_uploaded_image1_1641719011.jpg","Guediawaye, Dakar, Sénégal","8 500CFA","Tenue fillette"
"1765138273-292","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3513877_uploaded_image1_1641564259.jpg","Guediawaye, Dakar, Sénégal","13 500CFA","Ensemble garçon"
"1765138273-293","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3512035_uploaded_image1_1641478303.jpg","Guediawaye, Dakar, Sénégal","5 000CFA","Vêtement bébé"
"1765138273-294","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3502826_uploaded_image1_1640879287.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Pull friperie enfant"
"1765138273-295","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3502825_uploaded_image1_1640879211.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Ensemble friperie enfant"
"1765138273-296","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3495993_uploaded_image1_1640295236.jpg","Patte d'oie, Dakar, Sénégal","25 000CFA","Robe princesse"
"1765138273-297","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3495990_uploaded_image1_1640295017.jpg","Patte d'oie, Dakar, Sénégal","6 000CFA","Jeans enfants"
"1765138273-298","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3492922_uploaded_image1_1640098024.jpg","Sicap Liberté, Dakar, Sénégal","2 000CFA","Collant enfant"
"1765138273-299","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3491313_uploaded_image1_1639999946.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","1 000CFA","Vêtements enfant"
"1765138273-300","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3491173_uploaded_image1_1639994016.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","2 500CFA","Vêtements garçon 0-24 mois"
"1765138273-301","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3491052_uploaded_image1_1639984599.jpg","Patte d'oie, Dakar, Sénégal","20 000CFA","Vêtement friperie bébé"
"1765138273-302","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3490179_uploaded_image2_1639899300.jpeg","HLM, Dakar, Sénégal","4 000CFA","Ensembles enfant"
"1765138273-303","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3488219_uploaded_image1_1639747204.jpg","Grand Yoff, Dakar, Sénégal","2 000CFA","Collants enfant - 0 à 24 mois"
"1765138273-304","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3487929_uploaded_image1_1639736157.jpg","HLM, Dakar, Sénégal","6 000CFA","Ensemble  enfant"
"1765138273-305","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3483054_uploaded_image1_1639471866.jpg","Grand Yoff, Dakar, Sénégal","5 000CFA","Vêtement enfant"
"1765138273-306","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3480133_uploaded_image1_1639253211.jpg","Grand Yoff, Dakar, Sénégal","5 000CFA","Robe fille"
"1765138273-307","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3475710_uploaded_image1_1639000859.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138273-308","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3472103_uploaded_image1_1638829619.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","15 000CFA","Vêtements enfants"
"1765138273-309","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3470013_uploaded_image1_1638728238.jpg","Guediawaye, Dakar, Sénégal","25 000CFA","Ensemble enfants"
"1765138273-310","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3468416_uploaded_image1_1638627351.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Pull capuche enfants"
"1765138273-311","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3468413_uploaded_image1_1638627289.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtement enfants friperie"
"1765138273-312","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3468409_uploaded_image1_1638627241.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Pull capuche enfants friperie"
"1765138273-313","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3467169_uploaded_image1_1638560609.jpg","Dakar, Sénégal","25 000CFA","Robe fille"
"1765138273-314","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3462842_uploaded_image1_1638387220.jpg","Patte d'oie, Dakar, Sénégal","25 000CFA","Robe de cérémonie"
"1765138273-315","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3462374_uploaded_image3_1638371268.jpeg","Dakar, Sénégal","7 000CFA","Slip  enfant"
"1765138273-316","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3460818_uploaded_image1_1638313368.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Pantalon enfant"
"1765138273-317","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3460815_uploaded_image1_1638313292.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138273-318","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3460197_uploaded_image1_1638285384.jpg","HLM, Dakar, Sénégal","Prix sur demande","Vêtement enfant"
"1765138273-319","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3453271_uploaded_image1_1637794848.jpg","Medina, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138273-320","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3447441_uploaded_image2_1637437933.jpeg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtement friperie enfant"
"1765138273-321","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3447436_uploaded_image1_1637437824.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Culotte friperie enfants"
"1765138273-322","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3446293_uploaded_image1_1637361506.jpg","HLM, Dakar, Sénégal","1 000CFA","Bonnet bébé"
"1765138273-323","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3438481_uploaded_image1_1636971503.jpg","HLM, Dakar, Sénégal","Prix sur demande","Vêtement enfant"
"1765138273-324","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3420805_uploaded_image1_1636035011.jpg","Dakar, Sénégal","8 000CFA","Combinaison surf pour enfant"
"1765138273-325","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3416581_uploaded_image1_1635864100.jpg","Dakar, Sénégal","13 500CFA","Ensemble enfant"
"1765138273-326","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3414761_uploaded_image1_1635795193.jpg","Dakar Plateau, Dakar, Sénégal","8 000CFA","Blouson Poir Pour Enfant"
"1765138273-327","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3412103_uploaded_image1_1635684897.jpg","Dakar, Sénégal","6 500CFA","Caleçons coton enfant -  12 pièces"
"1765138273-328","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3410760_uploaded_image1_1635583935.jpg","Patte d'oie, Dakar, Sénégal","30 000CFA","Robe de princesse"
"1765138273-329","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3405987_uploaded_image1_1635327202.jpg","Grand Yoff, Dakar, Sénégal","15 000CFA","Ensemble garçon"
"1765138273-330","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3405969_uploaded_image1_1635326776.jpg","Grand Yoff, Dakar, Sénégal","15 000CFA","Robes enfant"
"1765138273-331","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3404857_uploaded_image1_1635260273.jpg","Mbao, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138273-332","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3404666_uploaded_image1_1635254147.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138273-333","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3401212_uploaded_image1_1635078924.jpg","Patte d'oie, Dakar, Sénégal","10 000CFA","Robe de princesse"
"1765138273-334","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3401211_uploaded_image1_1635078841.jpg","Patte d'oie, Dakar, Sénégal","10 000CFA","Robe de princesse"
"1765138273-335","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3398130_uploaded_image1_1634894756.jpg","HLM, Dakar, Sénégal","Prix sur demande","Vêtement bébé"
"1765138273-336","https://sn.coinafrique.com/categorie/vetements-enfants?page=7","https://images.coinafrique.com/thumb_3396665_uploaded_image1_1634813452.jpg","HLM, Dakar, Sénégal","3 500CFA","Vêtement bébé"
"1765138276-337","https://sn.coinafrique.com/categorie/vetements-enfants?page=6","https://images.coinafrique.com/thumb_3754830_uploaded_image2_1655979401.jpeg","Dakar, Sénégal","Prix sur demande","Chemise Elhadji enfant"
"1765138276-338","https://sn.coinafrique.com/categorie/vetements-enfants?page=6","https://images.coinafrique.com/thumb_3752169_uploaded_image1_1655824879.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Robe enfant"
"1765138276-339","https://sn.coinafrique.com/categorie/vetements-enfants?page=6","https://images.coinafrique.com/thumb_3752164_uploaded_image1_1655824806.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Robe enfant"
"1765138276-340","https://sn.coinafrique.com/categorie/vetements-enfants?page=6","https://images.coinafrique.com/thumb_3752161_uploaded_image1_1655824706.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Robe broderie enfant"
