type_shoes3,adress3,image_link3,price3
Chaussures pour enfants,"Pikine, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4775765_uploaded_image1_1717362018.jpg,2500.0
Timberland enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4763656_uploaded_image1_1716765652.jpg,7000.0
Chaussures bébés Air Force,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4735737_uploaded_image1_1715305215.jpg,10000.0
Chaussures enfants ,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg,2500.0
Chaussures enfants ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg,15000.0
Chaussures pour enfant ,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4656153_uploaded_image1_1711205088.jpg,10718.75
Pantoufles  enfants,"Grand Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4632466_uploaded_image1_1709901740.jpg,2500.0
Pantoufle enfants,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4626680_uploaded_image1_1709644598.jpg,2500.0
Chaussures enfant Ogiy,"Grand Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg,17000.0
Chaussures enfants,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4608262_uploaded_image1_1708692132.jpg,6500.0
Chaussures enfants,"Sipres, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4608259_uploaded_image1_1708692072.jpg,6500.0
Chaussures enfant,"Dieuppeul-Derklé, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg,6000.0
Chaussures enfant,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4514824_uploaded_image1_1703615498.jpg,13000.0
Chaussures pour enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4514805_uploaded_image1_1703614843.jpg,8000.0
Chaussures enfant,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4476393_uploaded_image1_1701209697.jpg,6500.0
Chaussures enfant,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4517970_uploaded_image2_1703783616.jpeg,10718.75
Chaussures pour enfant,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4516156_uploaded_image1_1703690655.jpg,9000.0
Chaussures enfant,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4513355_uploaded_image1_1703506842.jpg,10718.75
Chaussures enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4464312_uploaded_image1_1700415241.jpg,3000.0
Chaussures enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4464284_uploaded_image1_1700414113.jpg,4000.0
