type_shoes,adress1,image_link1,price1
Chaussures,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640323_uploaded_image1_1764078277.jpg,10000.0
Chaussures,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640318_uploaded_image1_1764078147.jpg,12000.0
Chaussures,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640260_uploaded_image1_1764076783.jpg,15000.0
Chaussures,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640258_uploaded_image1_1764076664.jpg,15000.0
Chaussures,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640219_uploaded_image1_1764075154.jpg,25000.0
Chaussures homme ,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5637204_uploaded_image1_1763926350.jpg,18366.666666666668
Baskets Asics,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5630752_uploaded_image1_1763589625.jpg,12000.0
Chaussures en daim Zara,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5630025_uploaded_image1_1763560555.jpg,25000.0
Sandales homme,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5627951_uploaded_image1_1763472221.jpg,8000.0
Chaussures,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5625915_uploaded_image1_1763379573.jpg,15000.0
Chaussures en cuir pour homme,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5624803_uploaded_image1_1763314804.jpg,10000.0
Chaussures,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5623102_uploaded_image1_1763203756.jpg,12000.0
Chaussures Hugo Boss,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5622144_uploaded_image1_1763141369.jpg,25000.0
Chaussures homme ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5621182_uploaded_image1_1763077582.jpg,20000.0
Babouches,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5619673_uploaded_image1_1763023060.jpg,10000.0
Tapettes homme  ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5618783_uploaded_image1_1762964858.jpg,15000.0
Babouches,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5618775_uploaded_image1_1762964709.jpg,18000.0
Babouches,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5618698_uploaded_image1_1762962167.jpg,10000.0
Balenciaga ,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5618425_uploaded_image1_1762956121.jpg,25000.0
Babouches,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5616251_uploaded_image1_1762866056.jpg,10000.0
Babouches,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5616009_uploaded_image1_1762860359.jpg,10000.0
Baskets Nike,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5613411_uploaded_image1_1762726719.jpg,25000.0
Sandale Orthopédique Birkenstock,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5569336_uploaded_image1_1760194310.jpg,29500.0
Chaussures en cuir,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5610456_uploaded_image1_1762521928.jpg,16000.0
Sneakers homme,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5610449_uploaded_image1_1762521706.jpg,15000.0
Chaussures,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5610109_uploaded_image1_1762509011.jpg,6000.0
Chaussures hommes ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5609232_uploaded_image1_1762455930.jpg,25000.0
Chaussures homme,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5609229_uploaded_image1_1762455773.jpg,25000.0
Chaussures homme ,"Guediawaye, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5608889_uploaded_image1_1762441070.jpg,13500.0
Chaussures,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5608405_uploaded_image1_1762426274.jpg,8000.0
Chaussures,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5608086_uploaded_image1_1762416663.jpg,1000.0
Sandales Alexandre MC Queen,"Rufisque, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5607540_uploaded_image1_1762380090.jpg,5000.0
Baskets New Balance ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5604084_uploaded_image1_1762212669.jpg,16900.0
Baskets TN ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5604077_uploaded_image1_1762212426.jpg,16900.0
Baskets New Balance ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5604075_uploaded_image1_1762212336.jpg,16900.0
Chaussures hommes ,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5603314_uploaded_image1_1762181979.jpg,15000.0
Baskets Adidas ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5603000_uploaded_image1_1762171793.jpg,25000.0
Chaussures homme ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5600252_uploaded_image1_1762008921.jpg,20000.0
