type_habits,adress,image_link,price
Sous vêtements,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548980_uploaded_image1_1759170623.jpg,1500.0
Polo ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5555324_uploaded_image1_1759429771.jpg,6000.0
Survêtement Nike,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588326_uploaded_image1_1761262675.jpg,60000.0
Survêtement Nike,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588324_uploaded_image1_1761262516.jpg,50000.0
Ensemble nike tech,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588318_uploaded_image1_1761262014.jpg,30000.0
Ensemble blouson,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588312_uploaded_image1_1761261836.jpg,25000.0
Costumes africains,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5547717_uploaded_image1_1759098205.jpg,30000.0
T-shirts Kaddù dund,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5586874_uploaded_image1_1761172153.jpg,4500.0
T-shirts,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5586869_uploaded_image1_1761171855.jpg,4500.0
Blouson,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5585179_uploaded_image1_1761084798.jpg,9000.0
